Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Deplaned,Cargo,Passenger,11856,5.378
200507,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Enplaned,Cargo,Passenger,82208,37.29
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Freighter,1464911,664.484
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,490152,222.333
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Freighter,168662,76.505
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,56433,25.598
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Freighter,1554286,705.024
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,520057,235.898
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Freighter,186902,84.779
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,62537,28.367
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,702079,318.463
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,141422,64.149
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,611446,277.352
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,138573,62.857
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,922919,418.636
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,773224,350.734
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Deplaned,Cargo,Freighter,551563,250.189
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,580231,263.193
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,1718657,779.583
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,563990,255.826
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Freighter,48128,21.831
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,15794,7.164
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,15433,7
